
-------------------------------------------------------------------------------
SCINTREX V5.2       AUTOGRAV / Cycling Mode          R5.31
Cycle Time:      70                                          Ser No:    704372.
Line:      0.  Grid:      0.   Job:      1.  Date: 15/06/03  Operator:       1.

GREF.:                       0. mGals           Tilt x sensit.:           319.2
GCAL.1:                6062.697                 Tilt y sensit.:           291.3
GCAL.2:                     0.0                 Deg.Latitude:             45.91
TEMPCO.:                -0.1343 mGal/mK         Deg.Longitude:           -15.97
Drift const.:             0.2629                GMT Difference:            0.hr
Drift Correction Start  Time: 11:26:57          Cal.after x samples:         12
                        Date: 14/12/05          On-Line Tilt Corrected = "*"
-------------------------------------------------------------------------------
Station  Grav.     SD.   Tilt x  Tilt y    Temp.    E.T.C.  Dur  # Rej     Time
     2. 6850.173* 0.020      1.     -0.    0.50   -0.016     60     0  06:57:33
     2. 6850.164* 0.020      1.     -1.    0.50   -0.015     60     0  06:58:43
     2. 6850.155* 0.015      1.     -1.    0.50   -0.014     60     0  06:59:53
     2. 6850.152* 0.019      1.     -1.    0.50   -0.014     60     0  07:01:03
     2. 6850.146* 0.020      1.     -1.    0.50   -0.013     60     0  07:02:13
     2. 6850.143* 0.017      1.     -1.    0.50   -0.012     60     0  07:03:23
     2. 6850.142* 0.019      1.     -1.    0.50   -0.011     60     0  07:04:33
     2. 6850.137* 0.017      1.     -1.    0.50   -0.010     60     0  07:05:43
     2. 6850.138* 0.018      1.     -1.    0.50   -0.009     60     0  07:06:53
     2. 6850.131* 0.022      1.     -1.    0.50   -0.008     60     0  07:08:03
     2. 6850.132* 0.021      0.     -1.    0.50   -0.008     60     0  07:09:13
     2. 6850.129* 0.020      0.     -1.    0.49   -0.007     60     0  07:10:23
     2. 6850.131* 0.023      0.     -1.    0.49   -0.005     60     0  07:11:33
     2. 6850.120* 0.020      0.     -1.    0.49   -0.005     60     0  07:12:43
     2. 6850.123* 0.018     -0.     -1.    0.49   -0.004     60     0  07:13:53
     2. 6850.124* 0.018     -0.     -2.    0.49   -0.003     60     0  07:15:03
     2. 6850.119* 0.015     -0.     -2.    0.49   -0.002     59     2  07:16:13
     2. 6850.115* 0.018     -0.     -2.    0.49   -0.002     60     0  07:17:24
     2. 6850.115* 0.019     -0.     -2.    0.49   -0.000     60     1  07:18:34
     2. 6850.115* 0.018     -0.     -2.    0.49    0.001     60     0  07:19:45
     2. 6850.107* 0.025     -0.     -2.    0.49    0.001     60     0  07:20:55
     2. 6850.114* 0.025     -0.     -2.    0.49    0.002     60     0  07:22:05
     2. 6850.110* 0.018     -1.     -2.    0.50    0.003     60     0  07:23:15
     2. 6850.109* 0.019     -1.     -3.    0.49    0.004     60     0  07:24:25
     2. 6850.112* 0.019     -1.     -2.    0.49    0.005     60     0  07:25:35
     2. 6850.110* 0.016     -1.     -3.    0.49    0.006     60     1  07:26:45
     2. 6850.102* 0.023     -1.     -3.    0.49    0.007     60     0  07:27:56
     2. 6850.107* 0.022     -1.     -3.    0.49    0.007     60     0  07:29:06
     2. 6850.103* 0.020     -1.     -3.    0.49    0.008     60     0  07:30:16
     2. 6850.110* 0.023     -1.     -3.    0.49    0.009     60     0  07:31:26
     2. 6850.105* 0.020     -1.     -3.    0.49    0.010     60     0  07:32:36
     2. 6850.101* 0.018     -1.     -3.    0.48    0.011     60     0  07:33:46
     2. 6850.105* 0.018     -1.     -4.    0.49    0.012     60     0  07:34:56
     2. 6850.098* 0.016     -1.     -4.    0.49    0.013     60     0  07:36:06
     2. 6850.109* 0.019     -1.     -4.    0.50    0.014     60     0  07:37:16
     2. 6850.105* 0.018     -1.     -4.    0.50    0.014     60     0  07:38:26
